2017-01-30_14-02-09-31,T,2.0093333333333123:2.7688333333333244,10.409333333333311:21.968833333333325,55.04933333333331:57.85683333333332,63.42533333333331:64.12883333333333,69.03333333333332:70.48883333333333,77.64133333333332:80.01683333333332,86.32933333333332:88.28883333333333,111.79333333333332:114.13683333333333,128.13733333333332:129.3288333333333,157.67333333333332:159.3768333333333,160.62533333333332:161.1208333333333,172.0333333333333:173.5128333333333,186.62533333333332:187.72083333333333,197.1693333333333:198.00083333333333,206.23333333333332:207.7928333333333,218.5373333333333:220.56883333333332,224.6893333333333:225.2408333333333,236.11333333333332:236.1928333333333,239.2253333333333:239.76083333333332,250.9453333333333:251.77683333333331,283.5853333333333:284.36083333333335,298.9933333333333:300.7128333333333,319.5693333333333:320.2248333333333,324.0093333333333:324.5288333333333,325.0973333333333:326.2488333333333,332.36133333333333:333.7688333333333,339.7613333333333:340.7128333333333,349.26533333333333:350.7208333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-28_14-46-30-695,B,40.73599999999999:41.62666666666666,44.31199999999999:44.95466666666666,49.73599999999999:50.33066666666666,53.96799999999999:54.97066666666666,58.12799999999999:59.04266666666666,64.088:66.10666666666667,71.44:72.16266666666667,75.904:77.45066666666666,81.056:81.70666666666666,82.024:82.56266666666667,83.416:84.37866666666667,88.632:89.39466666666667,96.592:97.72266666666667,103.112:103.82666666666667,106.616:106.74666666666667,115.24:115.53066666666668,123.264:123.44266666666667,129.696:130.34666666666666,134.86399999999998:135.41866666666667,140.19199999999998:140.89066666666665,144.10399999999998:145.98666666666665,151.95999999999998:152.95466666666667,153.42399999999998:153.48266666666666,165.26399999999998:165.85066666666665,168.736:169.52266666666665,177.55999999999997:178.08266666666665,180.136:180.91466666666665,188.04799999999997:188.95466666666667,189.92:190.00266666666667,190.51199999999997:190.78666666666666,192.32799999999997:192.84266666666664,201.152:201.50666666666666,205.07999999999998:205.29866666666666,210.37599999999998:210.98666666666665,213.16:213.94666666666666,217.91199999999998:218.45866666666666,220.30399999999997:221.17066666666665,229.224:230.12266666666665,234.31199999999998:234.89866666666666,243.0:243.66666666666666,246.21599999999998:246.73066666666665,256.62399999999997:257.0986666666667,260.15999999999997:260.55466666666666,260.928:261.53066666666666,266.856:266.8826666666667,267.144:267.2026666666667,271.712:272.4746666666667,272.856:273.3626666666667,276.84:277.0506666666667,281.488:282.5386666666667,285.864:286.45866666666666,287.664:288.6106666666667,293.312:293.7866666666667,302.296:303.5386666666667,304.936:305.5466666666667,307.736:309.01866666666666,315.008:315.23466666666667,323.456:323.8506666666667,328.55199999999996:328.9866666666667,334.768:335.11466666666666,339.28:339.72266666666667,,,,
2016-11-07_16-04-30-467,T,14.43999999999999:17.042666666666662,77.368:77.41066666666667,80.472:84.12266666666667,89.72:93.22666666666667,115.696:118.65866666666668,125.568:128.93066666666667,139.42399999999998:140.57866666666666,147.528:150.68266666666665,152.33599999999998:152.47466666666665,158.72:161.31466666666665,168.368:171.89066666666665,185.09599999999998:187.77066666666664,188.32:191.33866666666665,205.992:211.79466666666664,222.21599999999998:225.69866666666667,230.86399999999998:232.93066666666667,252.51999999999998:252.75466666666665,268.13599999999997:268.48266666666666,272.36:276.4746666666667,279.03999999999996:279.1546666666667,291.216:293.3866666666667,295.328:295.5386666666667,305.76:309.65066666666667,310.096:310.1226666666667,319.128:321.53066666666666,322.384:322.4266666666667,322.752:322.9306666666667,345.15999999999997:347.9626666666667,351.688:351.9146666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-31_14-57-52-839,B,1.6813333333333125:2.5079999999999822,5.065333333333312:5.571999999999983,19.409333333333315:19.771999999999984,23.657333333333312:29.171999999999983,42.49733333333331:43.08399999999998,86.37733333333333:87.49999999999999,90.21733333333331:91.26799999999999,102.12933333333332:102.996,106.95333333333332:108.29199999999999,114.63333333333333:115.892,124.02533333333332:125.69999999999999,130.11333333333332:130.57199999999997,142.11333333333332:143.45199999999997,153.90533333333332:155.30799999999996,184.2173333333333:185.89199999999997,195.2813333333333:196.63599999999997,210.69733333333332:212.188,224.48933333333332:225.29999999999998,229.5773333333333:231.01199999999997,241.46533333333332:242.79599999999996,252.67333333333332:254.31599999999997,269.8093333333333:271.22,281.3293333333333:281.796,290.2253333333333:291.604,302.3693333333333:303.492,311.5453333333333:312.87600000000003,320.4013333333333:321.404,333.3693333333333:334.972,337.40933333333334:337.868,342.6253333333333:343.46000000000004,351.8413333333333:352.724,359.0973333333333:360.228,360.6493333333333:361.3,373.4973333333333:374.004,379.4733333333333:380.26800000000003,387.1293333333333:387.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-13_14-33-47-982,T,2.745833333333329:2.8510000000000058,12.21783333333333:12.275000000000006,62.44183333333333:63.123000000000005,73.10583333333334:73.61900000000001,80.33783333333334:80.69100000000002,87.56983333333334:87.58700000000002,100.01783333333334:100.54700000000001,101.34583333333333:101.45100000000001,108.60183333333333:109.38700000000001,116.26583333333333:120.61900000000001,139.04183333333333:139.883,149.14583333333331:149.235,157.49783333333332:159.403,179.67383333333333:181.611,186.01783333333333:189.563,197.45783333333333:197.795,202.42583333333332:202.427,205.3538333333333:205.403,241.10583333333332:247.011,260.10583333333335:260.139,267.60983333333337:268.17100000000005,278.7058333333334:283.595,287.39383333333336:287.49100000000004,294.3858333333334:294.483,334.66583333333335:334.73100000000005,337.34583333333336:338.283,344.41783333333336:344.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-13_10-05-15-634,T,3.371999999999982:4.459999999999983,5.315999999999983:6.259999999999982,24.611999999999984:26.107999999999983,30.659999999999986:47.323999999999984,83.45199999999998:84.30799999999999,95.77199999999999:96.87599999999999,103.91599999999998:105.356,114.85999999999999:115.844,124.95599999999999:126.276,137.43599999999998:138.56399999999996,145.71599999999998:146.42799999999997,153.04399999999998:154.85199999999998,172.56399999999996:173.84399999999997,181.33199999999997:182.908,187.99599999999998:188.86799999999997,194.676:196.468,210.81199999999998:212.652,233.468:234.24399999999997,238.19599999999997:239.748,263.22:264.5,286.58:287.444,304.036:305.3,326.7:327.644,337.252:338.74,343.148:343.3,343.428:346.86,347.148:348.612,355.85200000000003:356.932,357.98:359.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-11_16-16-40-42,B,2.098333333333317:2.634166666666645,6.818333333333317:6.994166666666645,17.83433333333332:20.30616666666665,36.14633333333332:37.35416666666664,56.23433333333332:56.698166666666644,64.41033333333333:67.38616666666665,70.38633333333333:70.62616666666665,79.05833333333332:81.75416666666665,84.93033333333332:88.17016666666665,93.42633333333332:97.18616666666665,106.52233333333332:109.35416666666666,119.56233333333333:122.41016666666665,128.48233333333332:130.98616666666663,146.4103333333333:149.89016666666663,161.6183333333333:161.72216666666665,163.6423333333333:163.89816666666664,169.46633333333332:171.77816666666664,177.8023333333333:180.43416666666664,185.5623333333333:188.10616666666664,194.3623333333333:196.93816666666663,211.8503333333333:213.12216666666663,224.6903333333333:226.04216666666665,241.5943333333333:241.69016666666664,243.81033333333332:243.87416666666664,245.3783333333333:246.33816666666664,249.95433333333332:252.67416666666665,265.90633333333335:267.22616666666664,272.57033333333334:274.49816666666663,290.56233333333336:294.1141666666666,300.82633333333337:300.83416666666665,306.36233333333337:309.05816666666664,346.89033333333333:350.37016666666665,368.86633333333333:369.75416666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-03_14-36-53-693,T,1.4346666666666616:2.328166666666664,6.5306666666666615:7.880166666666664,31.354666666666663:45.232166666666664,79.61866666666667:80.44816666666667,87.54666666666667:87.78416666666666,91.41066666666667:92.52016666666667,108.84266666666667:110.31216666666667,119.09866666666667:120.58416666666668,130.77066666666664:132.19216666666665,135.57066666666665:136.66416666666666,140.66666666666666:141.45616666666666,153.75466666666665:154.32016666666667,162.17066666666665:162.85616666666667,165.97866666666667:168.08816666666667,168.57066666666665:169.27216666666666,171.33866666666665:171.56016666666665,188.06666666666666:189.40816666666666,192.99466666666666:194.75216666666665,200.29866666666666:200.79216666666665,203.31466666666665:203.71216666666666,204.05066666666664:206.90416666666667,207.32266666666666:207.93616666666665,208.97866666666667:208.99216666666666,211.40266666666665:213.15216666666666,213.43466666666666:218.04016666666666,225.87466666666666:227.24816666666666,233.69066666666666:234.84816666666666,275.0826666666667:275.64816666666667,279.2506666666667:279.3761666666667,285.5706666666667:286.1761666666667,290.2666666666667:290.7761666666667,291.18666666666667:292.1921666666667,294.4506666666667:294.9601666666667,297.06666666666666:297.48016666666666,301.7546666666667:304.1041666666667,304.8586666666667:305.1761666666667,309.1466666666667:310.1761666666667,313.5866666666667:313.6881666666667,316.4186666666667:319.11216666666667,319.6586666666667:323.7121666666667,331.5946666666667:333.23216666666667,334.4026666666667:334.7761666666667,335.4106666666667:337.9441666666667,340.7386666666667:341.8001666666667,355.3546666666667:356.3201666666667,358.1706666666667:358.7281666666667,366.5466666666667:366.72016666666667,374.3386666666667:376.13616666666667,378.8026666666667:379.8401666666667,,,,,,,,,,,,,,,,
2016-06-08_19-02-40-950,B,62.74633333333335:62.91449999999999,69.88233333333335:70.2825,72.55433333333335:72.9945,80.27433333333335:80.40249999999999,85.14633333333335:85.4825,93.01833333333336:93.6745,100.81833333333336:101.5065,108.83433333333335:108.9545,110.35433333333336:111.4185,114.86633333333336:116.1225,118.32233333333335:118.7785,134.61033333333333:135.75449999999998,142.63433333333333:142.7225,146.12233333333333:146.58649999999997,151.23433333333335:151.79449999999997,159.77033333333333:160.2745,169.80233333333334:170.5545,178.06633333333335:179.4905,181.74633333333335:182.01049999999998,192.57033333333334:193.29049999999998,201.08233333333334:201.52249999999998,208.21833333333333:209.2585,222.83433333333335:222.98649999999998,233.22633333333334:233.29049999999998,236.89033333333333:237.2825,241.25033333333334:241.79449999999997,248.41833333333335:249.5385,265.32233333333335:266.3145,280.35433333333333:280.97049999999996,293.54633333333334:294.01849999999996,305.05833333333334:305.4745,320.93833333333333:322.1785,332.29033333333336:332.3305,340.69033333333334:341.8505,345.17833333333334:345.6585,360.93833333333333:361.3625,365.97833333333335:367.1785,372.39433333333335:372.9225,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-06_14-13-11-507,B,2.705666666666657:4.034833333333333,11.729666666666656:12.642833333333334,61.51366666666666:63.61083333333333,69.29766666666666:69.93083333333334,72.99366666666667:74.05883333333334,78.80966666666666:84.53883333333334,92.38566666666667:93.95483333333334,104.18566666666666:105.64283333333334,130.60166666666666:131.78683333333333,150.86566666666664:151.09883333333332,169.82566666666665:170.61083333333332,182.10566666666665:182.75483333333332,188.42566666666664:189.44283333333334,202.13766666666666:203.49883333333332,208.75366666666665:209.85083333333333,243.88966666666664:245.11483333333334,255.08966666666666:256.21883333333335,282.58566666666667:283.2588333333333,289.18566666666663:290.17083333333335,312.40166666666664:313.83483333333334,324.48966666666666:325.5468333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
